Designator,Mid X,Mid Y,Rotation,Layer
BT301,189.0,-91.75,0.0,bottom
C1085,257.55,-107.49,0.0,top
C1086,257.55,-110.5,0.0,top
C201,117.175,-137.15,180.0,bottom
C202,110.0,-130.5,180.0,bottom
C203,110.0225,-127.75,0.0,bottom
C301,185.5,-140.2955,90.0,bottom
C302,182.65,-140.55,270.0,bottom
C303,180.75,-144.75,180.0,bottom
C304,179.5,-134.25,180.0,bottom
C401,242.915,-75.75,0.0,bottom
C501,250.4,-70.2,0.0,bottom
C502,251.175,-63.25,0.0,bottom
D1001,125.42,-87.0,270.0,top
D1002,114.63,-81.32,270.0,top
D1003,102.91,-73.69,270.0,top
D1004,91.91,-64.17,270.0,top
D1005,83.38,-53.14,270.0,top
D1006,79.0,-41.43,270.0,top
D1007,80.14,-30.6,180.0,top
D1008,87.66,-23.12,180.0,top
D1009,98.5,-22.0,180.0,top
D1010,110.23,-26.44,90.0,top
D1011,121.27,-34.91,90.0,top
D1012,130.79,-46.04,90.0,top
D1013,138.42,-57.79,90.0,top
D1014,144.0,-68.42,180.0,top
D1015,149.68,-57.63,270.0,top
D1016,157.31,-45.91,180.0,top
D1017,166.83,-34.91,180.0,top
D1018,177.86,-26.38,180.0,top
D1019,189.57,-22.0,180.0,top
D1020,200.4,-23.14,90.0,top
D1021,207.88,-30.66,90.0,top
D1022,208.99,-41.51,90.0,top
D1023,204.56,-53.23,0.0,top
D1024,196.09,-64.27,0.0,top
D1025,184.96,-73.79,0.0,top
D1026,173.21,-81.42,0.0,top
D1027,162.58,-87.0,90.0,top
D1028,173.37,-92.68,90.0,top
D1029,185.09,-100.31,90.0,top
D1030,196.09,-109.83,90.0,top
D1031,204.62,-120.86,90.0,top
D1032,209.0,-132.57,90.0,top
D1033,207.86,-143.4,0.0,top
D1034,200.34,-150.88,0.0,top
D1035,189.49,-151.99,270.0,top
D1036,177.77,-147.5,270.0,top
D1037,166.73,-139.0,270.0,top
D1038,157.21,-127.96,270.0,top
D1039,149.58,-116.21,270.0,top
D1040,144.0,-105.58,0.0,top
D1041,138.32,-116.37,0.0,top
D1042,130.69,-128.09,0.0,top
D1043,121.17,-139.0,0.0,top
D1044,110.14,-147.62,0.0,top
D1045,98.43,-152.0,0.0,top
D1046,87.6,-150.86,270.0,top
D1047,80.12,-143.34,270.0,top
D1048,79.0,-132.49,180.0,top
D1049,83.44,-120.77,180.0,top
D1050,91.91,-109.73,180.0,top
D1051,103.04,-100.21,180.0,top
D1052,114.79,-92.58,270.0,top
D1085,76.6,-105.65,270.0,top
D1086,76.6,-87.0,270.0,top
D1087,76.6,-68.35,270.0,top
D1088,125.35,-19.6,180.0,top
D1089,144.0,-19.6,180.0,top
D1090,162.65,-19.6,180.0,top
D1091,211.4,-68.35,90.0,top
D1092,211.4,-87.0,90.0,top
D1093,211.4,-105.65,90.0,top
D1094,162.65,-154.4,0.0,top
D1095,144.0,-154.4,0.0,top
D1096,125.35,-154.4,0.0,top
FB201,115.175378,-146.0,90.0,bottom
J201,110.425378,-158.0,0.0,bottom
J301,194.5,-144.25,0.0,top
J302,182.0,-147.5,0.0,top
J401,71.95,-96.6,270.0,top
J402,134.35,-14.95,180.0,top
J403,216.05,-77.4,90.0,top
J404,153.6,-159.0,0.0,top
LS501,261.0,-92.0,180.0,bottom
Q1085,245.6625,-108.575,0.0,bottom
R1002,261.675,-76.0,180.0,bottom
R1005,246.925,-67.95,90.0,bottom
R201,117.175,-132.95,0.0,bottom
R202,106.425378,-146.0,90.0,bottom
R203,112.925378,-146.0,90.0,bottom
R204,117.175,-134.95,0.0,bottom
R301,172.0,-148.75,0.0,bottom
R302,172.0,-132.0,0.0,bottom
R303,172.0,-146.75,0.0,bottom
R305,172.0,-134.25,0.0,bottom
R307,172.0,-144.75,0.0,bottom
R308,172.0,-136.75,0.0,bottom
R310,182.5,-137.0,90.0,bottom
R401,247.675,-82.0,0.0,bottom
R402,243.675,-82.0,180.0,bottom
R501,236.675,-72.95,0.0,bottom
SW501,236.425,-68.7,0.0,bottom
U1085,133.1,-145.87,180.0,bottom
U1086,252.3625,-108.175,0.0,bottom
U1091,144.0,-84.0,0.0,top
U201,109.675378,-145.75,270.0,bottom
U202,110.0,-136.855,270.0,bottom
U301,177.415,-139.323,180.0,bottom
U401,246.015,-92.35,180.0,bottom
