Designator,Footprint,Quantity,Value,LCSC Part #
BZ1,Buzzer_TDK_PS1240P02BT_D12.2mm_H6.5mm,1,Buzzer,
"D1, D10, D11, D12, D13, D14, D15, D16, D2, D3, D4, D5, D6, D7, D8, D9",LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,16,WS2812B,
J2,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm,1,OLED3&4,
J5,PinHeader_1x08_P2.54mm_Horizontal,1,Conn_01x08,
"Q1, Q2",SOT-23,2,MMBT2222A,
Q3,SOT-23,1,AO3401A,
R1,0805,1,220R,
"R10, R11, R12, R13, R14, R15, R16, R17, R18, R2, R4, R7, R8, R9",0805,14,10k,
"R3, R5",0805,2,1k,
R6,0805,1,100R,
"SW1, SW10, SW11, SW12, SW2, SW3, SW4, SW5, SW6, SW7, SW8, SW9",SW_PUSH_6mm,12,SW_Push_Dual,
SW13,Switch,1,POWER,
U2,ESP32-S3,1,~,
U3,PCF8575,1,PCF8575,
