Designator,Mid X,Mid Y,Rotation,Layer
BZ1,160.50000004703364,-150.50000004703364,45.0,bottom
D1,178.865767,-80.695674,270.0,top
D10,47.75,-112.695674,90.0,top
D11,47.75,-96.695674,90.0,top
D12,47.75,-80.695674,90.0,top
D13,89.307883,-39.137791,0.0,top
D14,105.307883,-39.137791,0.0,top
D15,121.307883,-39.137791,0.0,top
D16,137.307883,-39.137791,0.0,top
D2,178.865767,-96.695674,270.0,top
D3,178.865767,-112.695674,270.0,top
D4,178.865766,-128.695674,270.0,top
D5,137.307883,-170.253558,180.0,top
D6,121.307883,-170.253558,180.0,top
D7,105.307883,-170.253558,180.0,top
D8,89.307883,-170.253557,180.0,top
D9,47.75,-128.695674,90.0,top
J2,120.5,-88.5,45.0,bottom
J5,129.0829857152516,-87.3958017152516,225.0,top
Q1,152.5,-66.5,135.0,top
Q2,162.5,-57.0,135.0,top
Q3,156.5,-63.0,135.0,top
R1,169.5,-70.5,270.0,top
R10,29.5,-91.99568,180.0,bottom
R11,29.5,-104.69568,180.0,bottom
R12,29.5,-117.39568,180.0,bottom
R13,126.0,-20.9125,270.0,bottom
R14,113.3,-20.9125,270.0,bottom
R15,100.607889,-20.9125,270.0,bottom
R16,197.0,-117.395689,0.0,bottom
R17,197.0,-104.695689,0.0,bottom
R18,197.0,-91.995689,0.0,bottom
R2,153.0,-59.5,45.0,top
R3,156.0,-56.5,45.0,top
R4,159.0,-53.5,45.0,top
R5,159.354765,-59.645235,225.0,top
R6,149.0,-63.0,45.0,top
R7,100.588849,-188.5,90.0,bottom
R8,113.288849,-188.5,90.0,bottom
R9,125.988849,-188.5,90.0,bottom
SW1,193.865781,-91.995689,90.0,top
SW10,100.607889,-24.137797,180.0,top
SW11,113.307889,-24.137797,180.0,top
SW12,126.007889,-24.137797,180.0,top
SW13,135.0,-52.5,0.0,top
SW2,193.865781,-104.695689,90.0,top
SW3,193.865781,-117.395689,90.0,top
SW4,125.988849,-185.349249,0.0,top
SW5,113.288849,-185.349249,0.0,top
SW6,100.588849,-185.349249,0.0,top
SW7,32.750006,-117.39568,270.0,top
SW8,32.750006,-104.69568,270.0,top
SW9,32.750006,-91.99568,270.0,top
U2,154.2630123207116,-63.73698767928842,225.0,bottom
U3,72.0,-63.5,225.0,bottom
